Link_Key	BookingID	UdidNumber	UdidValue	UdidDefinitions	
12QWHHPR	12	46	97146	GROUP ID	
13TYHWYH	13	11	F420171	COMPANY	
13TYHWYH	13	13	0000	CODIGO GINEBRA	
13TYHWYH	13	14	10-XX	SECTOR	
13TYHWYH	13	15	362	LOCATION	
13TYHWYH	13	17	SGS DE MEXICO-BA27915	PROYECT NUMBER	
13TYHWYH	13	18	PROCESO INTERNO	AUTORIZADOR	
13TYHWYH	13	25	1751	ACTIVITY	
13TYHWYH	13	26	0	COST LEVEL	
13TYHWYH	13	46	97146	GROUP ID	
14TYHWYH	14	11	F420171	COMPANY	
14TYHWYH	14	13	0000	CODIGO GINEBRA	
14TYHWYH	14	14	10-XX	SECTOR	
14TYHWYH	14	15	362	LOCATION	
14TYHWYH	14	17	SGS DE MEXICO-BA27915	PROYECT NUMBER	
14TYHWYH	14	18	PROCESO INTERNO	AUTORIZADOR	
14TYHWYH	14	25	1751	ACTIVITY	
14TYHWYH	14	26	0	COST LEVEL	
14TYHWYH	14	46	97146	GROUP ID	
15CBKKIW	15	11	F420401	COMPANY	
15CBKKIW	15	13	0000	CODIGO GINEBRA	
15CBKKIW	15	14	520-XX	SECTOR	
15CBKKIW	15	15	362	LOCATION	
15CBKKIW	15	17	SGS DE MEXICO-BA27916	PROYECT NUMBER	
15CBKKIW	15	18	PROCESO INTERNO	AUTORIZADOR	
15CBKKIW	15	25	5143	ACTIVITY	
15CBKKIW	15	26	0	COST LEVEL	
15CBKKIW	15	46	97146	GROUP ID	
16CBKKIW	16	11	F420401	COMPANY	
16CBKKIW	16	13	0000	CODIGO GINEBRA	
16CBKKIW	16	14	520-XX	SECTOR	
16CBKKIW	16	15	362	LOCATION	
16CBKKIW	16	17	SGS DE MEXICO-BA27916	PROYECT NUMBER	
16CBKKIW	16	18	PROCESO INTERNO	AUTORIZADOR	
16CBKKIW	16	25	5143	ACTIVITY	
16CBKKIW	16	26	0	COST LEVEL	
16CBKKIW	16	46	97146	GROUP ID	
17DSQFGJ	17	11	F422102	COMPANY	
17DSQFGJ	17	13	0000	CODIGO GINEBRA	
17DSQFGJ	17	14		SECTOR	
17DSQFGJ	17	15	362	LOCATION	
17DSQFGJ	17	17	SGS DE MEXICO-BA27918	PROYECT NUMBER	
17DSQFGJ	17	18	PROCESO INTERNO	AUTORIZADOR	
17DSQFGJ	17	25	9052	ACTIVITY	
17DSQFGJ	17	26	0	COST LEVEL	
17DSQFGJ	17	46	97146	GROUP ID	
18DSQFGJ	18	11	F422102	COMPANY	
18DSQFGJ	18	13	0000	CODIGO GINEBRA	
18DSQFGJ	18	14		SECTOR	
18DSQFGJ	18	15	362	LOCATION	
18DSQFGJ	18	17	SGS DE MEXICO-BA27918	PROYECT NUMBER	
18DSQFGJ	18	18	PROCESO INTERNO	AUTORIZADOR	
18DSQFGJ	18	25	9052	ACTIVITY	
18DSQFGJ	18	26	0	COST LEVEL	
18DSQFGJ	18	46	97146	GROUP ID	
19ICBMXZ	19	11	F420171	COMPANY	
19ICBMXZ	19	13	0000	CODIGO GINEBRA	
19ICBMXZ	19	14	10-XX	SECTOR	
19ICBMXZ	19	15	362	LOCATION	
19ICBMXZ	19	17	SGS DE MEXICO-BA27863	PROYECT NUMBER	
19ICBMXZ	19	18	JENNIFERDIAZ	AUTORIZADOR	
19ICBMXZ	19	25	1751	ACTIVITY	
19ICBMXZ	19	26	0	COST LEVEL	
19ICBMXZ	19	46		GROUP ID	
20ICBMXZ	20	11	F420171	COMPANY	
20ICBMXZ	20	13	0000	CODIGO GINEBRA	
20ICBMXZ	20	14	10-XX	SECTOR	
20ICBMXZ	20	15	362	LOCATION	
20ICBMXZ	20	17	SGS DE MEXICO-BA27863	PROYECT NUMBER	
20ICBMXZ	20	18	JENNIFERDIAZ	AUTORIZADOR	
20ICBMXZ	20	25	1751	ACTIVITY	
20ICBMXZ	20	26	0	COST LEVEL	
20ICBMXZ	20	46		GROUP ID	
21ICBMXZ	21	11	F420171	COMPANY	
21ICBMXZ	21	13	0000	CODIGO GINEBRA	
21ICBMXZ	21	14	10-XX	SECTOR	
21ICBMXZ	21	15	362	LOCATION	
21ICBMXZ	21	17	SGS DE MEXICO-BA27863	PROYECT NUMBER	
21ICBMXZ	21	18	JENNIFERDIAZ	AUTORIZADOR	
21ICBMXZ	21	25	1751	ACTIVITY	
21ICBMXZ	21	26	0	COST LEVEL	
21ICBMXZ	21	46		GROUP ID	
22DSQFGJ	22	11	F422102	COMPANY	
22DSQFGJ	22	13	0000	CODIGO GINEBRA	
22DSQFGJ	22	14		SECTOR	
22DSQFGJ	22	15	362	LOCATION	
22DSQFGJ	22	17	SGS DE MEXICO-BA27918	PROYECT NUMBER	
22DSQFGJ	22	18	PROCESO INTERNO	AUTORIZADOR	
22DSQFGJ	22	25	9052	ACTIVITY	
22DSQFGJ	22	26	0	COST LEVEL	
22DSQFGJ	22	46	97146	GROUP ID	
23DSQFGJ	23	11	F422102	COMPANY	
23DSQFGJ	23	13	0000	CODIGO GINEBRA	
23DSQFGJ	23	14		SECTOR	
23DSQFGJ	23	15	362	LOCATION	
23DSQFGJ	23	17	SGS DE MEXICO-BA27918	PROYECT NUMBER	
23DSQFGJ	23	18	PROCESO INTERNO	AUTORIZADOR	
23DSQFGJ	23	25	9052	ACTIVITY	
23DSQFGJ	23	26	0	COST LEVEL	
23DSQFGJ	23	46	97146	GROUP ID	
24MUVWDK	24	11	F422102	COMPANY	
24MUVWDK	24	13	0000	CODIGO GINEBRA	
24MUVWDK	24	14	90-XX	SECTOR	
24MUVWDK	24	15	362	LOCATION	
24MUVWDK	24	17	SGS DE MEXICO-BA27913	PROYECT NUMBER	
24MUVWDK	24	18	PROCESO INTERNO	AUTORIZADOR	
24MUVWDK	24	25	9052	ACTIVITY	
24MUVWDK	24	26	0	COST LEVEL	
24MUVWDK	24	46	97146	GROUP ID	
25MUVWDK	25	11	F422102	COMPANY	
25MUVWDK	25	13	0000	CODIGO GINEBRA	
25MUVWDK	25	14	90-XX	SECTOR	
25MUVWDK	25	15	362	LOCATION	
25MUVWDK	25	17	SGS DE MEXICO-BA27913	PROYECT NUMBER	
25MUVWDK	25	18	PROCESO INTERNO	AUTORIZADOR	
25MUVWDK	25	25	9052	ACTIVITY	
25MUVWDK	25	26	0	COST LEVEL	
25MUVWDK	25	46	97146	GROUP ID	
26VATHST	26	11	F424301	COMPANY	
26VATHST	26	13	0000	CODIGO GINEBRA	
26VATHST	26	14	520-XX	SECTOR	
26VATHST	26	15	362	LOCATION	
26VATHST	26	17	SGS DE MEXICO-BA27914	PROYECT NUMBER	
26VATHST	26	18	PROCESO INTERNO	AUTORIZADOR	
26VATHST	26	25	5280	ACTIVITY	
26VATHST	26	26	0	COST LEVEL	
26VATHST	26	46	97146	GROUP ID	
27VATHST	27	11	F424301	COMPANY	
27VATHST	27	13	0000	CODIGO GINEBRA	
27VATHST	27	14	520-XX	SECTOR	
27VATHST	27	15	362	LOCATION	
27VATHST	27	17	SGS DE MEXICO-BA27914	PROYECT NUMBER	
27VATHST	27	18	PROCESO INTERNO	AUTORIZADOR	
27VATHST	27	25	5280	ACTIVITY	
27VATHST	27	26	0	COST LEVEL	
27VATHST	27	46	97146	GROUP ID	
28UKIYHC	28	11	F422102	COMPANY	
28UKIYHC	28	13	0000	CODIGO GINEBRA	
28UKIYHC	28	14	99-XX	SECTOR	
28UKIYHC	28	15	362	LOCATION	
28UKIYHC	28	17	SGS DE MEXICO-BA27917	PROYECT NUMBER	
28UKIYHC	28	18	PROCESO INTERNO	AUTORIZADOR	
28UKIYHC	28	25	6253	ACTIVITY	
28UKIYHC	28	26	0	COST LEVEL	
28UKIYHC	28	46	97146	GROUP ID	
29UKIYHC	29	11	F422102	COMPANY	
29UKIYHC	29	13	0000	CODIGO GINEBRA	
29UKIYHC	29	14	99-XX	SECTOR	
29UKIYHC	29	15	362	LOCATION	
29UKIYHC	29	17	SGS DE MEXICO-BA27917	PROYECT NUMBER	
29UKIYHC	29	18	PROCESO INTERNO	AUTORIZADOR	
29UKIYHC	29	25	6253	ACTIVITY	
29UKIYHC	29	26	0	COST LEVEL	
29UKIYHC	29	46	97146	GROUP ID	
30VXYLGP	30	11	F424301	COMPANY	
30VXYLGP	30	13	0000	CODIGO GINEBRA	
30VXYLGP	30	14	520-XX	SECTOR	
30VXYLGP	30	15	362	LOCATION	
30VXYLGP	30	17	SGS DE MEXICO-BA27922	PROYECT NUMBER	
30VXYLGP	30	18	PROCESO INTERNO	AUTORIZADOR	
30VXYLGP	30	25	5280	ACTIVITY	
30VXYLGP	30	26	0	COST LEVEL	
30VXYLGP	30	46	97146	GROUP ID	
31VXYLGP	31	11	F424301	COMPANY	
31VXYLGP	31	13	0000	CODIGO GINEBRA	
31VXYLGP	31	14	520-XX	SECTOR	
31VXYLGP	31	15	362	LOCATION	
31VXYLGP	31	17	SGS DE MEXICO-BA27922	PROYECT NUMBER	
31VXYLGP	31	18	PROCESO INTERNO	AUTORIZADOR	
31VXYLGP	31	25	5280	ACTIVITY	
31VXYLGP	31	26	0	COST LEVEL	
31VXYLGP	31	46	97146	GROUP ID	
32VBDXGQ	32	11	F424301	COMPANY	
32VBDXGQ	32	13	0000	CODIGO GINEBRA	
32VBDXGQ	32	14	520-XX	SECTOR	
32VBDXGQ	32	15	362	LOCATION	
32VBDXGQ	32	17	SGS DE MEXICO-BA27921	PROYECT NUMBER	
32VBDXGQ	32	18	PROCESO INTERNO	AUTORIZADOR	
32VBDXGQ	32	25	5280	ACTIVITY	
32VBDXGQ	32	26	0	COST LEVEL	
32VBDXGQ	32	46	97146	GROUP ID	
33VBDXGQ	33	11	F424301	COMPANY	
33VBDXGQ	33	13	0000	CODIGO GINEBRA	
33VBDXGQ	33	14	520-XX	SECTOR	
33VBDXGQ	33	15	362	LOCATION	
33VBDXGQ	33	17	SGS DE MEXICO-BA27921	PROYECT NUMBER	
33VBDXGQ	33	18	PROCESO INTERNO	AUTORIZADOR	
33VBDXGQ	33	25	5280	ACTIVITY	
33VBDXGQ	33	26	0	COST LEVEL	
33VBDXGQ	33	46	97146	GROUP ID	
34QRNWWM	34	11	F420171	COMPANY	
34QRNWWM	34	13	0000	CODIGO GINEBRA	
34QRNWWM	34	14	10-XX	SECTOR	
34QRNWWM	34	15	362	LOCATION	
34QRNWWM	34	17	SGS DE MEXICO-BA27926	PROYECT NUMBER	
34QRNWWM	34	18	PROCESO INTERNO	AUTORIZADOR	
34QRNWWM	34	25	1751	ACTIVITY	
34QRNWWM	34	26	00	COST LEVEL	
34QRNWWM	34	46	97146	GROUP ID	
35QRNWWM	35	11	F420171	COMPANY	
35QRNWWM	35	13	0000	CODIGO GINEBRA	
35QRNWWM	35	14	10-XX	SECTOR	
35QRNWWM	35	15	362	LOCATION	
35QRNWWM	35	17	SGS DE MEXICO-BA27926	PROYECT NUMBER	
35QRNWWM	35	18	PROCESO INTERNO	AUTORIZADOR	
35QRNWWM	35	25	1751	ACTIVITY	
35QRNWWM	35	26	00	COST LEVEL	
35QRNWWM	35	46	97146	GROUP ID	
36ZPMSJS	36	11	F424301	COMPANY	
36ZPMSJS	36	13	0000	CODIGO GINEBRA	
36ZPMSJS	36	14	520-XX	SECTOR	
36ZPMSJS	36	15	362	LOCATION	
36ZPMSJS	36	17	SGS DE MEXICO-BA27890	PROYECT NUMBER	
36ZPMSJS	36	18	JENNIFERDIAZ	AUTORIZADOR	
36ZPMSJS	36	25	5280	ACTIVITY	
36ZPMSJS	36	26	0	COST LEVEL	
36ZPMSJS	36	46	97146	GROUP ID	
37ZPMSJS	37	11	F424301	COMPANY	
37ZPMSJS	37	13	0000	CODIGO GINEBRA	
37ZPMSJS	37	14	520-XX	SECTOR	
37ZPMSJS	37	15	362	LOCATION	
37ZPMSJS	37	17	SGS DE MEXICO-BA27890	PROYECT NUMBER	
37ZPMSJS	37	18	JENNIFERDIAZ	AUTORIZADOR	
37ZPMSJS	37	25	5280	ACTIVITY	
37ZPMSJS	37	26	0	COST LEVEL	
37ZPMSJS	37	46	97146	GROUP ID	
38WVOEJQ	38	11	F422102	COMPANY	
38WVOEJQ	38	13	0000	CODIGO GINEBRA	
38WVOEJQ	38	14	99-XX	SECTOR	
38WVOEJQ	38	15	362	LOCATION	
38WVOEJQ	38	17	SGS DE MEXICO-BA27925	PROYECT NUMBER	
38WVOEJQ	38	18	PROCESO INTERNO	AUTORIZADOR	
38WVOEJQ	38	25	6253	ACTIVITY	
38WVOEJQ	38	26	0	COST LEVEL	
38WVOEJQ	38	46	97146	GROUP ID	
39WVOEJQ	39	11	F422102	COMPANY	
39WVOEJQ	39	13	0000	CODIGO GINEBRA	
39WVOEJQ	39	14	99-XX	SECTOR	
39WVOEJQ	39	15	362	LOCATION	
39WVOEJQ	39	17	SGS DE MEXICO-BA27925	PROYECT NUMBER	
39WVOEJQ	39	18	PROCESO INTERNO	AUTORIZADOR	
39WVOEJQ	39	25	6253	ACTIVITY	
39WVOEJQ	39	26	0	COST LEVEL	
39WVOEJQ	39	46	97146	GROUP ID	
40IVXGFK	40	11	F422102	COMPANY	
40IVXGFK	40	13	0000	CODIGO GINEBRA	
40IVXGFK	40	14	99-XX	SECTOR	
40IVXGFK	40	15	362	LOCATION	
40IVXGFK	40	17	SGS DE MEXICO-BA27908	PROYECT NUMBER	
40IVXGFK	40	18	PROCESO INTERNO	AUTORIZADOR	
40IVXGFK	40	25	4200	ACTIVITY	
40IVXGFK	40	26	0	COST LEVEL	
40IVXGFK	40	46	97146	GROUP ID	
41IVXGFK	41	11	F422102	COMPANY	
41IVXGFK	41	13	0000	CODIGO GINEBRA	
41IVXGFK	41	14	99-XX	SECTOR	
41IVXGFK	41	15	362	LOCATION	
41IVXGFK	41	17	SGS DE MEXICO-BA27908	PROYECT NUMBER	
41IVXGFK	41	18	PROCESO INTERNO	AUTORIZADOR	
41IVXGFK	41	25	4200	ACTIVITY	
41IVXGFK	41	26	0	COST LEVEL	
41IVXGFK	41	46	97146	GROUP ID	
42QLXHUV	42	11	F420171	COMPANY	
42QLXHUV	42	13	0000	CODIGO GINEBRA	
42QLXHUV	42	14	10-XX	SECTOR	
42QLXHUV	42	15	362	LOCATION	
42QLXHUV	42	17	SGS DE MEXICO-BA27930	PROYECT NUMBER	
42QLXHUV	42	18	PROCESO INTERNO	AUTORIZADOR	
42QLXHUV	42	25	1751	ACTIVITY	
42QLXHUV	42	26	0	COST LEVEL	
42QLXHUV	42	46	97146	GROUP ID	
43QLXHUV	43	11	F420171	COMPANY	
43QLXHUV	43	13	0000	CODIGO GINEBRA	
43QLXHUV	43	14	10-XX	SECTOR	
43QLXHUV	43	15	362	LOCATION	
43QLXHUV	43	17	SGS DE MEXICO-BA27930	PROYECT NUMBER	
43QLXHUV	43	18	PROCESO INTERNO	AUTORIZADOR	
43QLXHUV	43	25	1751	ACTIVITY	
43QLXHUV	43	26	0	COST LEVEL	
43QLXHUV	43	46	97146	GROUP ID	
44XVVYWC	44	11	F420171	COMPANY	
44XVVYWC	44	13	0000	CODIGO GINEBRA	
44XVVYWC	44	14	10-XX	SECTOR	
44XVVYWC	44	15	362	LOCATION	
44XVVYWC	44	17	SGS DE MEXICO-BA27929	PROYECT NUMBER	
44XVVYWC	44	18	PROCESO INTERNO	AUTORIZADOR	
44XVVYWC	44	25	1751	ACTIVITY	
44XVVYWC	44	26	0	COST LEVEL	
44XVVYWC	44	46	97146	GROUP ID	
45XVVYWC	45	11	F420171	COMPANY	
45XVVYWC	45	13	0000	CODIGO GINEBRA	
45XVVYWC	45	14	10-XX	SECTOR	
45XVVYWC	45	15	362	LOCATION	
45XVVYWC	45	17	SGS DE MEXICO-BA27929	PROYECT NUMBER	
45XVVYWC	45	18	PROCESO INTERNO	AUTORIZADOR	
45XVVYWC	45	25	1751	ACTIVITY	
45XVVYWC	45	26	0	COST LEVEL	
45XVVYWC	45	46	97146	GROUP ID	
46DHLVIK	46	11	F420171	COMPANY	
46DHLVIK	46	13	0000	CODIGO GINEBRA	
46DHLVIK	46	14	10-XX	SECTOR	
46DHLVIK	46	15	362	LOCATION	
46DHLVIK	46	17	SGS DE MEXICO-BA27928	PROYECT NUMBER	
46DHLVIK	46	18	PROCESO INTERNO	AUTORIZADOR	
46DHLVIK	46	25	1751	ACTIVITY	
46DHLVIK	46	26	0	COST LEVEL	
46DHLVIK	46	46	97146	GROUP ID	
47DHLVIK	47	11	F420171	COMPANY	
47DHLVIK	47	13	0000	CODIGO GINEBRA	
47DHLVIK	47	14	10-XX	SECTOR	
47DHLVIK	47	15	362	LOCATION	
47DHLVIK	47	17	SGS DE MEXICO-BA27928	PROYECT NUMBER	
47DHLVIK	47	18	PROCESO INTERNO	AUTORIZADOR	
47DHLVIK	47	25	1751	ACTIVITY	
47DHLVIK	47	26	0	COST LEVEL	
47DHLVIK	47	46	97146	GROUP ID	
48JZFIAQ	48	11	F422102	COMPANY	
48JZFIAQ	48	13	0000	CODIGO GINEBRA	
48JZFIAQ	48	14	99-XX	SECTOR	
48JZFIAQ	48	15	362	LOCATION	
48JZFIAQ	48	17	SGS DE MEXICO-BA27927	PROYECT NUMBER	
48JZFIAQ	48	18	PROCESO INTERNO	AUTORIZADOR	
48JZFIAQ	48	25	6253	ACTIVITY	
48JZFIAQ	48	26	0	COST LEVEL	
48JZFIAQ	48	46	97146	GROUP ID	
49JZFIAQ	49	11	F422102	COMPANY	
49JZFIAQ	49	13	0000	CODIGO GINEBRA	
49JZFIAQ	49	14	99-XX	SECTOR	
49JZFIAQ	49	15	362	LOCATION	
49JZFIAQ	49	17	SGS DE MEXICO-BA27927	PROYECT NUMBER	
49JZFIAQ	49	18	PROCESO INTERNO	AUTORIZADOR	
49JZFIAQ	49	25	6253	ACTIVITY	
49JZFIAQ	49	26	0	COST LEVEL	
49JZFIAQ	49	46	97146	GROUP ID	
50DOBHDI	50	11	F420171	COMPANY	
50DOBHDI	50	13	0000	CODIGO GINEBRA	
50DOBHDI	50	14	10-XX	SECTOR	
50DOBHDI	50	15	362	LOCATION	
50DOBHDI	50	17	SGS DE MEXICO-BA27936	PROYECT NUMBER	
50DOBHDI	50	18	JENNIFERDIAZ	AUTORIZADOR	
50DOBHDI	50	25	1751	ACTIVITY	
50DOBHDI	50	26	0	COST LEVEL	
50DOBHDI	50	46	97146	GROUP ID	
51DOBHDI	51	11	F420171	COMPANY	
51DOBHDI	51	13	0000	CODIGO GINEBRA	
51DOBHDI	51	14	10-XX	SECTOR	
51DOBHDI	51	15	362	LOCATION	
51DOBHDI	51	17	SGS DE MEXICO-BA27936	PROYECT NUMBER	
51DOBHDI	51	18	JENNIFERDIAZ	AUTORIZADOR	
51DOBHDI	51	25	1751	ACTIVITY	
51DOBHDI	51	26	0	COST LEVEL	
51DOBHDI	51	46	97146	GROUP ID	
52EXIMAF	52	11	F420101	COMPANY	
52EXIMAF	52	13	0000	CODIGO GINEBRA	
52EXIMAF	52	14	0-XX	SECTOR	
52EXIMAF	52	15	362	LOCATION	
52EXIMAF	52	17	SGS DE MEXICO-BA27937	PROYECT NUMBER	
52EXIMAF	52	18	JENNIFERDIAZ	AUTORIZADOR	
52EXIMAF	52	25	0	ACTIVITY	
52EXIMAF	52	26	0	COST LEVEL	
52EXIMAF	52	46	97146	GROUP ID	
53EXIMAF	53	11	F420101	COMPANY	
53EXIMAF	53	13	0000	CODIGO GINEBRA	
53EXIMAF	53	14	0-XX	SECTOR	
53EXIMAF	53	15	362	LOCATION	
53EXIMAF	53	17	SGS DE MEXICO-BA27937	PROYECT NUMBER	
53EXIMAF	53	18	JENNIFERDIAZ	AUTORIZADOR	
53EXIMAF	53	25	0	ACTIVITY	
53EXIMAF	53	26	0	COST LEVEL	
53EXIMAF	53	46	97146	GROUP ID	
54MYDLVC	54	11	F422102	COMPANY	
54MYDLVC	54	13	0000	CODIGO GINEBRA	
54MYDLVC	54	14	99-XX	SECTOR	
54MYDLVC	54	15	362	LOCATION	
54MYDLVC	54	17	SGS DE MEXICO-BA27931	PROYECT NUMBER	
54MYDLVC	54	18	PROCESO INTERNO	AUTORIZADOR	
54MYDLVC	54	25	4275	ACTIVITY	
54MYDLVC	54	26	0	COST LEVEL	
54MYDLVC	54	46	97146	GROUP ID	
55MYDLVC	55	11	F422102	COMPANY	
55MYDLVC	55	13	0000	CODIGO GINEBRA	
55MYDLVC	55	14	99-XX	SECTOR	
55MYDLVC	55	15	362	LOCATION	
55MYDLVC	55	17	SGS DE MEXICO-BA27931	PROYECT NUMBER	
55MYDLVC	55	18	PROCESO INTERNO	AUTORIZADOR	
55MYDLVC	55	25	4275	ACTIVITY	
55MYDLVC	55	26	0	COST LEVEL	
55MYDLVC	55	46	97146	GROUP ID	
56JKFXVZ	56	11	F420171	COMPANY	
56JKFXVZ	56	13	0000	CODIGO GINEBRA	
56JKFXVZ	56	14	10-XX	SECTOR	
56JKFXVZ	56	15	362	LOCATION	
56JKFXVZ	56	17	SGS DE MEXICO-BA27933	PROYECT NUMBER	
56JKFXVZ	56	18	JENNIFER DIAZ	AUTORIZADOR	
56JKFXVZ	56	25	1751	ACTIVITY	
56JKFXVZ	56	26	00	COST LEVEL	
56JKFXVZ	56	46	97146	GROUP ID	
57JKFXVZ	57	11	F420171	COMPANY	
57JKFXVZ	57	13	0000	CODIGO GINEBRA	
57JKFXVZ	57	14	10-XX	SECTOR	
57JKFXVZ	57	15	362	LOCATION	
57JKFXVZ	57	17	SGS DE MEXICO-BA27933	PROYECT NUMBER	
57JKFXVZ	57	18	JENNIFER DIAZ	AUTORIZADOR	
57JKFXVZ	57	25	1751	ACTIVITY	
57JKFXVZ	57	26	00	COST LEVEL	
57JKFXVZ	57	46	97146	GROUP ID	
58QDXMKH	58	11	F420201	COMPANY	
58QDXMKH	58	13	0000	CODIGO GINEBRA	
58QDXMKH	58	14	30-XX	SECTOR	
58QDXMKH	58	15	182	LOCATION	
58QDXMKH	58	17	SGS DE MEXICO-HS20122	PROYECT NUMBER	
58QDXMKH	58	18	JENNIFERDIAZ	AUTORIZADOR	
58QDXMKH	58	25	3100	ACTIVITY	
58QDXMKH	58	26	0	COST LEVEL	
58QDXMKH	58	46	97146	GROUP ID	
59EEBVVY	59	11	F422102	COMPANY	
59EEBVVY	59	13	0000	CODIGO GINEBRA	
59EEBVVY	59	14	90-XX	SECTOR	
59EEBVVY	59	15	362	LOCATION	
59EEBVVY	59	17	SGS DE MEXICO-BA27935	PROYECT NUMBER	
59EEBVVY	59	18	JENNIFER DIAZ	AUTORIZADOR	
59EEBVVY	59	25	9053	ACTIVITY	
59EEBVVY	59	26	0	COST LEVEL	
59EEBVVY	59	46	97146	GROUP ID	
60EEBVVY	60	11	F422102	COMPANY	
60EEBVVY	60	13	0000	CODIGO GINEBRA	
60EEBVVY	60	14	90-XX	SECTOR	
60EEBVVY	60	15	362	LOCATION	
60EEBVVY	60	17	SGS DE MEXICO-BA27935	PROYECT NUMBER	
60EEBVVY	60	18	JENNIFER DIAZ	AUTORIZADOR	
